Sample,Name,Total_ug,ug_injected,L
220517_2D_AE1913_BATS_BV55_st1_02um_30m,1_30_0.2,61,2,402
220517_2D_AE1913_BATS_BV55_st1_02um_115m,1_115_0.2,101,2,377
220517_2D_AE1913_BATS_BV55_st1_3um_30m,1_30_3,67,2,402
220517_2D_AE1913_BATS_BV55_st1_3um_115m,1_115_3,83,2,377
220517_2D_AE1913_CLIO018_150m,1_150,34,2,113
220517_2D_AE1913_CLIO018_200m,1_200,26,2,107
220517_2D_AE1913_CLIO018_300m,1_300,27,2,63.3
220517_2D_AE1913_CLIO018_400m,1_400,29,2,118.7
220517_2D_AE1913_CLIO018_600m,1_600,33,2,115.3
220517_2D_AE1913_CLIO018_800m,1_800,27,2,93.6
220517_2D_AE1913_CLIO019_20m,1_20,48,2,147.8
220517_2D_AE1913_CLIO019_175m,1_175,99,2,323.2
220517_2D_AE1913_CLIO019_250m,1_250,73,2,278.4
220517_2D_AE1913_CLIO019_350m,1_350,86,2,281.2
200406_2D_AE1319_CLIO020_St2_20m,2_20,57,2,66.6
200406_2D_AE1319_CLIO020_St2_60m,2_60,58,2,58.1
200406_2D_AE1319_CLIO020_St2_90m,2_90,64,2,77.3
200406_2D_AE1319_CLIO020_St2_120m,2_120,63,2,92.6
200406_2D_AE1319_CLIO020_St2_150m,2_150,52,2,137.4
220311_2D_3ug_AE1913_CLIO020_St2_800m,2_800,36,3,148.6
220311_2D_5ug_AE1913_CLIO020_St2_200m,2_200,35,5,142.1
220311_2D_5ug_AE1913_CLIO020_St2_400m,2_400,39,5,139.5
220311_2D_5ug_AE1913_CLIO020_St2_600m,2_600,59,5,149
200406_2D_AE1319_CLIO021_St3_6_3ug,3_200,25,3,190.2
200406_2D_AE1319_CLIO021_St3_7_2ug,3_400,25,2,115.3
200406_2D_AE1319_CLIO021_St3_8_4ug,3_600,25,4,121.6
200406_2D_AE1319_CLIO021_St3_9_4ug,3_800,25,4,190.2
200406_2D_AE1319_CLIO021_st3_10m,3_10,50,2,43.2
200406_2D_AE1319_CLIO021_St3_16,3_700,25,2,108.8
200406_2D_AE1319_CLIO021_St3_17,3_1000,25,2,157
200406_2D_AE1319_CLIO021_St3_18,3_1200,25,2,209.4
200406_2D_AE1319_CLIO021_st3_20m,3_20,50,2,51
200406_2D_AE1319_CLIO021_st3_30m,3_30,50,2,37.2
200406_2D_AE1319_CLIO021_st3_45m,3_45,50,2,38.1
200406_2D_AE1319_CLIO021_st3_60m,3_60,50,2,51.9
200406_2D_AE1319_CLIO021_st3_75m,3_75,50,2,42.3
200406_2D_AE1319_CLIO021_st3_90m,3_90,50,2,68.6
200406_2D_AE1319_CLIO021_st3_105m,3_105,50,2,46.2
200406_2D_AE1319_CLIO021_st3_120m,3_120,50,2,76.3
200406_2D_AE1319_CLIO021_st3_150m,3_150,50,2,127.2
220311_2D_5ug_AE1913_CLIO021_St3_175m,3_175,25,5,108.7
220311_2D_AE1913_CLIO022_St3_20m,5_20,51,2,77.5
220311_2D_AE1913_CLIO022_St3_40m,5_40,54,2,85.4
220311_2D_AE1913_CLIO022_St3_70m,5_70,53,2,68.9
220311_2D_AE1913_CLIO022_St3_100m,5_100,64,2,82.3
220311_2D_AE1913_CLIO022_St3_150m,5_150,38,2,148.9
220311_2D_AE1913_CLIO022_St3_200m,5_200,35,2,186.1
220311_2D_AE1913_CLIO022_St3_400m,5_400,27,2,150.2
220311_2D_AE1913_CLIO022_St3_600m,5_600,22,2,163.5
220311_2D_AE1913_CLIO022_St3_800m,5_880,21,2,151.2
220311_2D_2ug_AE1913_CLIO024_St6_4100m,6_4100,38,2,350.1
220311_2D_3ug_AE1913_CLIO024_St6_3000m,6_3000,53,3,305.6
220311_2D_3ug_AE1913_CLIO024_St6_4000m,6_4000,37,3,341.7
220311_2D_4ug_AE1913_CLIO024_St6_3500m,6_3500,66,4,333.3
220311_2D_5ug_AE1913_CLIO024_St6_2500m,6_2500,64,5,240.1
220311_2D_5ug_AE1913_CLIO024_St6_4050m,6_4050,36,5,335.3
220311_2D_AE1913_CLIO023_St3_20m,6_20,46,2,72.5
220311_2D_AE1913_CLIO023_St3_40m,6_40,54,2,69.4
220311_2D_AE1913_CLIO023_St3_70m,6_70,46,2,100
220311_2D_AE1913_CLIO023_St3_110m,6_110,56,2,102.1
220311_2D_AE1913_CLIO023_St3_150m,6_150,42,2,158.9
220311_2D_AE1913_CLIO023_St3_200m,6_200,31,2,170
220311_2D_AE1913_CLIO023_St3_400m,6_400,23,2,153.5
220311_2D_AE1913_CLIO023_St3_600m,6_600,19,2,163.2
220311_2D_AE1913_CLIO023_St3_800m,6_800,20,2,146.7
220311_2D_AE1913_CLIO024_St6_1000m,6_1000,109,2,136
220311_2D_AE1913_CLIO024_St6_1500m,6_1500,80,2,119.2
220311_2D_AE1913_CLIO024_St6_2000m,6_2000,68,2,123.2
200406_2D_AE1319_CLIO025_st7_20m,7_20,75,2,83.3
