ID,ChlC3,ChlC2,Per,NBut,Fux,NHex,Prx,Vix,Ddx,Alx,Dtx,Lut,Zex,ChlB,DvA,Chla,ABCar
1_20,3,3,1,2,2,12,1,,6,1,1,1,22,4,,38,4
1_30_0.2,3.5,4,1,3,2.5,12.5,0.5,0,5.5,1.5,1,0.5,18.5,5.5,0,38.5,3.5
1_30_3,3.5,4,1,3,2.5,12.5,0.5,0,5.5,1.5,1,0.5,18.5,5.5,0,38.5,3.5
1_115_0.2,45,21,2,46,8,63,4,0,6,3,0,0,21,104,0,211,24
1_115_3,45,21,2,46,8,63,4,0,6,3,0,0,21,104,0,211,24
1_150,18,9,1,20,4,26,2,,3,1,1,0,4,28,,67,7
1_175,,,,,,,,,,,,,,,,,
1_200,,,,,,,,,,,,,,,,,
1_250,,,,,,,,,,,,,,,,,
1_300,,,,,,,,,,,,,,,,,
1_350,,,,,,,,,,,,,,,,,
1_400,,,,,,,,,,,,,,,,,
1_600,,,,,,,,,,,,,,,,,
1_800,,,,,,,,,,,,,,,,,
2_20,2.34,2.61,1.14,1.88,1.37,8.05,0,0.85,3.79,0,2.88,0,6.72,1.92,5.01,27.13,1
2_60,6.531325783,9.152538529,1.524390859,6.401609536,2.439932635,20.46195297,0,0.778910609,3.699919913,0.435728416,0.786004174,0,22.46060536,6.993855572,0,74.82325334,3.900163646
2_90,19.24412614,16.41316088,2.041312194,15.01045555,4.615814884,44.94486522,0,0.787246452,3.361905904,0.796031929,0.368192125,0,46.00020632,28.38112063,71.86502777,170.5597087,12.14889777
2_120,54.42,29.03,1.76,46.13,9.89,69.43,0,0,5.4,1.77,0,0,28.25,95.74,92.97,243.09,20.52
2_150,18.65,10.63,0.85,20.59,3.53,36.01,0.00,0.00,1.93,0.83,0.00,0.00,4.33,35.97,29.85,94.30,8.34
2_200,3.60,3.37,0.00,9.07,1.77,5.77,0.00,0.00,0.48,0.35,0.00,0.00,0.54,3.41,4.12,19.77,0.91
2_400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2_600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2_800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3_10,5.5,5,2.5,4.5,3,16.5,0.5,,9,1,1,1,9.5,4.5,,51.5,4
3_20,5,5,2,5,2,17,0,,9,1,1,1,10,3,,51,4
3_30,5.5,6,2,5,2,18.5,0.5,,7,1,1,1,12,3.5,,52,4
3_45,,,,,,,,,,,,,,,,,
3_60,13,11.5,3,11,2.5,35.5,2,,5.5,1.5,0.5,0.5,26.5,17.5,,107,7.5
3_75,,,,,,,,,,,,,,,,,
3_90,,,,,,,,,,,,,,,,,
3_105,33,19,4,24,4,73,2,,6,2,0,0,54,67,,272,26
3_120,55,23,3,57,9,70,4,,7,4,1,1,43,175,,336,43
3_150,31,13,0,39,9,42,2,,3,2,0,0,15,96,,168,21
3_175,,,,,,,,,,,,,,,,,
3_200,,,,,,,,,,,,,,,,,
3_400,,,,,,,,,,,,,,,,,
3_600,,,,,,,,,,,,,,,,,
3_700,,,,,,,,,,,,,,,,,
3_800,,,,,,,,,,,,,,,,,
3_1000,,,,,,,,,,,,,,,,,
3_1200,,,,,,,,,,,,,,,,,
