"","Freezer","Station","Depth","label","X"
"1",1,2,"800","2_800","HN010"
"2",2,3,"120","3_120","HN021"
"3",3,6,"200","6_200","HN044"
"4",4,6,"2000","6_2000","HN016"
"5",5,5,"200","5_200","HN039"
"6",6,8,"40","8_40","HN017"
"7",7,5,"20","5_20","HN038"
"8",8,2,"120","2_120","HN007"
"9",9,5,"100","5_100","HN015"
"10",10,6,"3000","6_3000","HN026"
"11",11,8,"600","8_600","HN018"
"12",12,1,"800","1_800","HN005"
"13",13,6,"400","6_400","HN023"
"14",15,3,"20","3_20","HN011"
"15",16,6,"20","6_20","HN042"
"16",17,8,"120","8_120","HN031"
"17",18,3,"400","3_400","HN034"
"18",19,6,"4100","6_4100","HN013"
"19",20,1,"200","1_200","HN003"
"20",21,2,"200","2_200","HN008"
"21",22,3,"1000","3_1000","HN037"
"22",23,8,"250","8_250","HN033"
"23",24,7,"20","7_20","HN022"
"24",25,6,"110","6_110","HN043"
"25",26,1,"400","1_400","HN004"
"26",27,6,"1000","6_1000","HN025"
"27",28,8,"175","8_175","HN032"
"28",29,7,"500","7_500","HN029"
"29",30,3,"800","3_800","HN019"
"30",31,2,"20","2_20","HN006"
"31",32,5,"880","5_880","HN041"
"32",33,3,"200","3_200","HN014"
"33",34,2,"400","2_400","HN009"
"34",35,7,"700","7_700","HN030"
"35",36,3,"600","3_600","HN035"
"36",37,6,"4000","6_4000","HN027"
"37",38,5,"400","5_400","HN040"
"38",39,1,"30_0.2","1_30_0.2","HN001"
"39",40,1,"30_3","1_30_3","HN020"
"40",41,1,"115_0.2","1_115_0.2","HN012"
"41",42,1,"115_3","1_115_3","HN002"
"42",43,3,"700","3_700","HN036"
"43",44,6,"800","6_800","HN024"
"44",45,7,"108","7_108","HN028"
