BRITE,KO,,,
ko04131 Membrane trafficking,ko:K21442,,,
ko04131 Membrane trafficking,ko:K03283,,,
ko04131 Membrane trafficking,ko:K21848,,,
ko04131 Membrane trafficking,ko:K04079,,,
ko04131 Membrane trafficking,ko:K03231,,,
ko04131 Membrane trafficking,ko:K00134,,,
ko04131 Membrane trafficking,ko:K00889,,,
ko04131 Membrane trafficking,ko:K00914,,,
ko04131 Membrane trafficking,ko:K00670,,,
ko04131 Membrane trafficking,ko:K00844,,,
ko04131 Membrane trafficking,ko:K00873,,,
ko04131 Membrane trafficking,ko:K00940,,,
ko04131 Membrane trafficking,ko:K01099,,,
ko04131 Membrane trafficking,ko:K01230,,,
ko04131 Membrane trafficking,ko:K01191,,,
ko04131 Membrane trafficking,ko:K01267,,,
ko04131 Membrane trafficking,ko:K01317,,,
ko04131 Membrane trafficking,ko:K01528,,,
ko04131 Membrane trafficking,ko:K01551,,,
ko04131 Membrane trafficking,ko:K01623,,,
ko04131 Membrane trafficking,ko:K01834,,,
ko04131 Membrane trafficking,ko:K02183,,,
ko04131 Membrane trafficking,ko:K04392,,,
ko04131 Membrane trafficking,ko:K04560,,,
ko04131 Membrane trafficking,ko:K04644,,,
ko04131 Membrane trafficking,ko:K04645,,,
ko04131 Membrane trafficking,ko:K04646,,,
ko04131 Membrane trafficking,ko:K04678,,,
ko04131 Membrane trafficking,ko:K04513,,,
ko04131 Membrane trafficking,ko:K04533,,,
ko04131 Membrane trafficking,ko:K04482,,,
ko04131 Membrane trafficking,ko:K04648,,,
ko04131 Membrane trafficking,ko:K04734,,,
ko04131 Membrane trafficking,ko:K04523,,,
ko04131 Membrane trafficking,ko:K04382,,,
ko04131 Membrane trafficking,ko:K05193,,,
ko04131 Membrane trafficking,ko:K05857,,,
ko04131 Membrane trafficking,ko:K05699,,,
ko04131 Membrane trafficking,ko:K05236,,,
ko04131 Membrane trafficking,ko:K05755,,,
ko04131 Membrane trafficking,ko:K05754,,,
ko04131 Membrane trafficking,ko:K05747,,,
ko04131 Membrane trafficking,ko:K05759,,,
ko04131 Membrane trafficking,ko:K05765,,,
ko04131 Membrane trafficking,ko:K06276,,,
ko04131 Membrane trafficking,ko:K06027,,,
ko04131 Membrane trafficking,ko:K06643,,,
ko04131 Membrane trafficking,ko:K06560,,,
ko04131 Membrane trafficking,ko:K07901,,,
ko04131 Membrane trafficking,ko:K08054,,,
ko04131 Membrane trafficking,ko:K07937,,,
ko04131 Membrane trafficking,ko:K07827,,,
ko04131 Membrane trafficking,ko:K07887,,,
ko04131 Membrane trafficking,ko:K07889,,,
ko04131 Membrane trafficking,ko:K07897,,,
