Latitude,Longitude,Station,depth,Fe,Zn,Cd,Ni,Cu,Mn,PO4,NO2+NO3,Si,NO2,NH4,pMn,pFe,pNi,pCu,pZn,pCd
31.666888,-64.166293,1,10,0.535234433,1.013424352,0.001253426,2.00430155,0.854536394,2.395846688,0.17,0.3,0.1,0.04,0.19,,,,,,
31.666888,-64.166293,1,30,0.531818998,0.671165003,0.003519851,1.958119331,0.88804484,2.54431864,0.18,0.2,0.3,0.02,0.09,,,,,,
31.666888,-64.166293,1,60,0.736866011,0.748251934,0.003182163,1.972479487,0.996229537,2.158336011,0.18,0.1,0.1,0.03,0.15,,,,,,
31.666888,-64.166293,1,115,0.185665301,0.971132401,0.007249821,2.00314302,0.90890179,1.298052565,0.23,1.4,0.4,0.1,0,,,,,,
31.666888,-64.166293,1,150,0.237064613,1.44457381,0.006938209,2.008332359,0.928731983,1.185589776,0.16,1,0.1,0.03,0.16,,,,,,
31.666888,-64.166293,1,200,0.229316226,1.392952877,0.010309019,2.040288472,0.995248207,0.943453095,0.2,1.4,0.3,0.02,0.14,,,,,,
31.666888,-64.166293,1,400,0.24686782,1.502531149,0.024282722,2.173032068,0.818611444,0.452018751,0.4,4.2,1.2,0.02,0.04,,,,,,
31.666888,-64.166293,1,600,0.32968077,0.524915379,0.10755372,2.717433162,1.037139821,0.251651999,0.81,10.5,3.3,0.02,0.06,,,,,,
31.666888,-64.166293,1,800,0.479903581,0.948957009,0.267828387,3.585789357,1.104405466,0.244490141,1.44,19.2,9.3,0.01,0.04,,,,,,
31.666888,-64.166293,1,1000,0.680287246,1.610776311,0.321714705,4.145134138,1.328848531,0.357460724,,,,,,,,,,,
31.666888,-64.166293,1,1200,0.911098411,1.652853363,0.272496704,3.823313348,1.432560132,0.411366172,1.45,18.7,11.8,0.02,0.02,,,,,,
31.666888,-64.166293,1,1500,0.887654091,12.71034568,0.257003196,3.755521209,1.20226743,0.448932278,1.38,17.2,10.9,0.02,0.11,,,,,,
32.995067,-65.976848,2,10,0.786726139,0.284408218,0.006631989,1.932185544,0.859523962,3.213862888,0.19,0.2,0.2,0.01,0.12,6.31092314,132.1359065,2.96831262,9.329748677,36.91823398,0.088315179
32.995067,-65.976848,2,20,0.383335965,-0.080141724,0.008916844,2.023662269,0.804623572,3.006978482,0.2,0.1,0.2,0,0.26,5.861639103,137.919352,4.058145382,17.47216693,41.53089243,0.083778399
